region,time,sector,polymer,value
EU27+3,2030,Building and Construction,PP,0.34
EU27+3,2035,Building and Construction,PP,0.4
EU27+3,2040,Building and Construction,PP,0.4
EU27+3,2045,Building and Construction,PP,0.4
EU27+3,2050,Building and Construction,PP,0.4
EU27+3,2020,Building and Construction,PS,0.17
EU27+3,2025,Building and Construction,PS,0.19
EU27+3,2030,Building and Construction,PS,0.21
EU27+3,2035,Building and Construction,PS,0.23
EU27+3,2040,Building and Construction,PS,0.23
EU27+3,2045,Building and Construction,PS,0.23
EU27+3,2050,Building and Construction,PS,0.23
EU27+3,2020,Building and Construction,PS-E,0.17
EU27+3,2025,Building and Construction,PS-E,0.19
EU27+3,2030,Building and Construction,PS-E,0.21
EU27+3,2035,Building and Construction,PS-E,0.23
EU27+3,2040,Building and Construction,PS-E,0.23
EU27+3,2045,Building and Construction,PS-E,0.23
EU27+3,2050,Building and Construction,PS-E,0.23
EU27+3,2020,Building and Construction,PVC,0.29
EU27+3,2025,Building and Construction,PVC,0.35
EU27+3,2030,Building and Construction,PVC,0.41
EU27+3,2035,Building and Construction,PVC,0.47
EU27+3,2040,Building and Construction,PVC,0.47
EU27+3,2045,Building and Construction,PVC,0.47
EU27+3,2050,Building and Construction,PVC,0.47
EU27+3,2020,Building and Construction,"ABS, SAN",0.17
EU27+3,2025,Building and Construction,"ABS, SAN",0.19
EU27+3,2030,Building and Construction,"ABS, SAN",0.21
EU27+3,2035,Building and Construction,"ABS, SAN",0.23
EU27+3,2040,Building and Construction,"ABS, SAN",0.23
EU27+3,2045,Building and Construction,"ABS, SAN",0.23
EU27+3,2050,Building and Construction,"ABS, SAN",0.23
EU27+3,2020,Building and Construction,PMMA,0.17
EU27+3,2025,Building and Construction,PMMA,0.19
EU27+3,2030,Building and Construction,PMMA,0.21
EU27+3,2035,Building and Construction,PMMA,0.23
EU27+3,2040,Building and Construction,PMMA,0.23
EU27+3,2045,Building and Construction,PMMA,0.23
EU27+3,2050,Building and Construction,PMMA,0.23
EU27+3,2020,Building and Construction,"PA (PA6, PA66)",0.17
EU27+3,2025,Building and Construction,"PA (PA6, PA66)",0.19
EU27+3,2030,Building and Construction,"PA (PA6, PA66)",0.21
EU27+3,2035,Building and Construction,"PA (PA6, PA66)",0.23
EU27+3,2040,Building and Construction,"PA (PA6, PA66)",0.23
EU27+3,2045,Building and Construction,"PA (PA6, PA66)",0.23
EU27+3,2050,Building and Construction,"PA (PA6, PA66)",0.23
EU27+3,2020,Building and Construction,PC,0.17
EU27+3,2025,Building and Construction,PC,0.19
EU27+3,2030,Building and Construction,PC,0.21
EU27+3,2035,Building and Construction,PC,0.23
EU27+3,2040,Building and Construction,PC,0.23
EU27+3,2045,Building and Construction,PC,0.23
EU27+3,2050,Building and Construction,PC,0.23
EU27+3,2020,Building and Construction,PET,0.0
EU27+3,2025,Building and Construction,PET,0.0
EU27+3,2030,Building and Construction,PET,0.0
EU27+3,2035,Building and Construction,PET,0.0
EU27+3,2040,Building and Construction,PET,0.0
EU27+3,2045,Building and Construction,PET,0.0
EU27+3,2050,Building and Construction,PET,0.0
EU27+3,2020,Building and Construction,Other Thermoplastics,0.17
EU27+3,2025,Building and Construction,Other Thermoplastics,0.19
EU27+3,2030,Building and Construction,Other Thermoplastics,0.21
EU27+3,2035,Building and Construction,Other Thermoplastics,0.23
EU27+3,2040,Building and Construction,Other Thermoplastics,0.23
EU27+3,2045,Building and Construction,Other Thermoplastics,0.23
EU27+3,2050,Building and Construction,Other Thermoplastics,0.23
EU27+3,2020,Building and Construction,PUR,0.0
EU27+3,2025,Building and Construction,PUR,0.0
EU27+3,2030,Building and Construction,PUR,0.0
EU27+3,2035,Building and Construction,PUR,0.0
EU27+3,2040,Building and Construction,PUR,0.0
EU27+3,2045,Building and Construction,PUR,0.0
EU27+3,2050,Building and Construction,PUR,0.0
EU27+3,2020,Building and Construction,Other Plastics,0.17
EU27+3,2025,Building and Construction,Other Plastics,0.19
EU27+3,2030,Building and Construction,Other Plastics,0.21
EU27+3,2035,Building and Construction,Other Plastics,0.23
EU27+3,2040,Building and Construction,Other Plastics,0.23
EU27+3,2045,Building and Construction,Other Plastics,0.23
EU27+3,2050,Building and Construction,Other Plastics,0.23
EU27+3,2020,EPS ETICS,PS-E,0.17
EU27+3,2025,EPS ETICS,PS-E,0.38
EU27+3,2030,EPS ETICS,PS-E,0.59
EU27+3,2035,EPS ETICS,PS-E,0.8
EU27+3,2040,EPS ETICS,PS-E,0.8
EU27+3,2045,EPS ETICS,PS-E,0.8
EU27+3,2050,EPS ETICS,PS-E,0.8
EU27+3,2020,EPS flat roof,PS-E,0.17
EU27+3,2025,EPS flat roof,PS-E,0.38
EU27+3,2030,EPS flat roof,PS-E,0.59
EU27+3,2035,EPS flat roof,PS-E,0.8
EU27+3,2040,EPS flat roof,PS-E,0.8
EU27+3,2045,EPS flat roof,PS-E,0.8
EU27+3,2050,EPS flat roof,PS-E,0.8
EU27+3,2020,EPS flooring,PS-E,0.17
EU27+3,2025,EPS flooring,PS-E,0.38
EU27+3,2030,EPS flooring,PS-E,0.59
EU27+3,2035,EPS flooring,PS-E,0.8
EU27+3,2040,EPS flooring,PS-E,0.8
EU27+3,2045,EPS flooring,PS-E,0.8
EU27+3,2050,EPS flooring,PS-E,0.8
EU27+3,2020,EPS perimeter,PS-E,0.17
EU27+3,2025,EPS perimeter,PS-E,0.38
EU27+3,2030,EPS perimeter,PS-E,0.59
EU27+3,2035,EPS perimeter,PS-E,0.8
EU27+3,2040,EPS perimeter,PS-E,0.8
EU27+3,2045,EPS perimeter,PS-E,0.8
EU27+3,2050,EPS perimeter,PS-E,0.8
EU27+3,2020,EPS others in B&C,PS-E,0.17
EU27+3,2025,EPS others in B&C,PS-E,0.38
EU27+3,2030,EPS others in B&C,PS-E,0.59
EU27+3,2035,EPS others in B&C,PS-E,0.8
EU27+3,2040,EPS others in B&C,PS-E,0.8
EU27+3,2045,EPS others in B&C,PS-E,0.8
EU27+3,2050,EPS others in B&C,PS-E,0.8
EU27+3,2020,PVC pipes,PVC,0.29
EU27+3,2025,PVC pipes,PVC,0.35
EU27+3,2030,PVC pipes,PVC,0.41
EU27+3,2035,PVC pipes,PVC,0.47
EU27+3,2040,PVC pipes,PVC,0.47
EU27+3,2045,PVC pipes,PVC,0.47
EU27+3,2050,PVC pipes,PVC,0.47
EU27+3,2020,PVC profiles,PVC,0.29
EU27+3,2025,PVC profiles,PVC,0.46
EU27+3,2030,PVC profiles,PVC,0.63
EU27+3,2035,PVC profiles,PVC,0.8
EU27+3,2040,PVC profiles,PVC,0.8
EU27+3,2045,PVC profiles,PVC,0.8
EU27+3,2050,PVC profiles,PVC,0.8
EU27+3,2020,PVC others in B&C,PVC,0.29
EU27+3,2025,PVC others in B&C,PVC,0.35
EU27+3,2030,PVC others in B&C,PVC,0.41
EU27+3,2035,PVC others in B&C,PVC,0.47
EU27+3,2040,PVC others in B&C,PVC,0.47
EU27+3,2045,PVC others in B&C,PVC,0.47
EU27+3,2050,PVC others in B&C,PVC,0.47
EU27+3,2020,PUR rigid spray foam,PUR,0.0
EU27+3,2025,PUR rigid spray foam,PUR,0.0
EU27+3,2030,PUR rigid spray foam,PUR,0.0
EU27+3,2035,PUR rigid spray foam,PUR,0.0
EU27+3,2040,PUR rigid spray foam,PUR,0.0
EU27+3,2045,PUR rigid spray foam,PUR,0.0
EU27+3,2050,PUR rigid spray foam,PUR,0.0
EU27+3,2020,PUR boards and panels rigid foam,PUR,0.0
EU27+3,2025,PUR boards and panels rigid foam,PUR,0.0
EU27+3,2030,PUR boards and panels rigid foam,PUR,0.0
EU27+3,2035,PUR boards and panels rigid foam,PUR,0.0
EU27+3,2040,PUR boards and panels rigid foam,PUR,0.0
EU27+3,2045,PUR boards and panels rigid foam,PUR,0.0
EU27+3,2050,PUR boards and panels rigid foam,PUR,0.0
EU27+3,2020,Automotive,"PE-LD, -LLD",0.06
EU27+3,2025,Automotive,"PE-LD, -LLD",0.1
EU27+3,2030,Automotive,"PE-LD, -LLD",0.14
EU27+3,2035,Automotive,"PE-LD, -LLD",0.18
EU27+3,2040,Automotive,"PE-LD, -LLD",0.18
EU27+3,2045,Automotive,"PE-LD, -LLD",0.18
EU27+3,2050,Automotive,"PE-LD, -LLD",0.18
EU27+3,2020,Automotive,"PE-HD, -MD",0.06
EU27+3,2025,Automotive,"PE-HD, -MD",0.1
EU27+3,2030,Automotive,"PE-HD, -MD",0.14
EU27+3,2035,Automotive,"PE-HD, -MD",0.18
EU27+3,2040,Automotive,"PE-HD, -MD",0.18
EU27+3,2045,Automotive,"PE-HD, -MD",0.18
EU27+3,2050,Automotive,"PE-HD, -MD",0.18
EU27+3,2020,Automotive,PP,0.06
EU27+3,2025,Automotive,PP,0.1
EU27+3,2030,Automotive,PP,0.14
EU27+3,2035,Automotive,PP,0.18
EU27+3,2040,Automotive,PP,0.18
EU27+3,2045,Automotive,PP,0.18
EU27+3,2050,Automotive,PP,0.18
EU27+3,2020,Automotive,PS,0.06
EU27+3,2025,Automotive,PS,0.1
EU27+3,2030,Automotive,PS,0.14
EU27+3,2035,Automotive,PS,0.18
EU27+3,2040,Automotive,PS,0.18
EU27+3,2045,Automotive,PS,0.18
EU27+3,2050,Automotive,PS,0.18
EU27+3,2020,Automotive,PS-E,0.06
EU27+3,2025,Automotive,PS-E,0.1
EU27+3,2030,Automotive,PS-E,0.14
EU27+3,2035,Automotive,PS-E,0.18
EU27+3,2040,Automotive,PS-E,0.18
EU27+3,2045,Automotive,PS-E,0.18
EU27+3,2050,Automotive,PS-E,0.18
EU27+3,2020,Automotive,PVC,0.06
EU27+3,2025,Automotive,PVC,0.1
EU27+3,2030,Automotive,PVC,0.14
EU27+3,2035,Automotive,PVC,0.18
EU27+3,2040,Automotive,PVC,0.18
EU27+3,2045,Automotive,PVC,0.18
EU27+3,2050,Automotive,PVC,0.18
EU27+3,2020,Automotive,"ABS, SAN",0.06
EU27+3,2025,Automotive,"ABS, SAN",0.1
EU27+3,2030,Automotive,"ABS, SAN",0.14
EU27+3,2035,Automotive,"ABS, SAN",0.18
EU27+3,2040,Automotive,"ABS, SAN",0.18
EU27+3,2045,Automotive,"ABS, SAN",0.18
EU27+3,2050,Automotive,"ABS, SAN",0.18
EU27+3,2020,Automotive,PMMA,0.06
EU27+3,2025,Automotive,PMMA,0.1
EU27+3,2030,Automotive,PMMA,0.14
EU27+3,2035,Automotive,PMMA,0.18
EU27+3,2040,Automotive,PMMA,0.18
EU27+3,2045,Automotive,PMMA,0.18
EU27+3,2050,Automotive,PMMA,0.18
EU27+3,2020,Automotive,"PA (PA6, PA66)",0.06
EU27+3,2025,Automotive,"PA (PA6, PA66)",0.1
EU27+3,2030,Automotive,"PA (PA6, PA66)",0.14
EU27+3,2035,Automotive,"PA (PA6, PA66)",0.18
EU27+3,2040,Automotive,"PA (PA6, PA66)",0.18
EU27+3,2045,Automotive,"PA (PA6, PA66)",0.18
EU27+3,2050,Automotive,"PA (PA6, PA66)",0.18
EU27+3,2020,Automotive,PC,0.06
EU27+3,2025,Automotive,PC,0.1
EU27+3,2030,Automotive,PC,0.14
EU27+3,2035,Automotive,PC,0.18
EU27+3,2040,Automotive,PC,0.18
EU27+3,2045,Automotive,PC,0.18
EU27+3,2050,Automotive,PC,0.18
EU27+3,2020,Automotive,PET,0.06
EU27+3,2025,Automotive,PET,0.1
EU27+3,2030,Automotive,PET,0.14
EU27+3,2035,Automotive,PET,0.18
EU27+3,2040,Automotive,PET,0.18
EU27+3,2045,Automotive,PET,0.18
EU27+3,2050,Automotive,PET,0.18
EU27+3,2020,Automotive,Other Thermoplastics,0.06
EU27+3,2025,Automotive,Other Thermoplastics,0.1
EU27+3,2030,Automotive,Other Thermoplastics,0.14
EU27+3,2035,Automotive,Other Thermoplastics,0.18
EU27+3,2040,Automotive,Other Thermoplastics,0.18
EU27+3,2045,Automotive,Other Thermoplastics,0.18
EU27+3,2050,Automotive,Other Thermoplastics,0.18
EU27+3,2020,Automotive,PUR,0.0
EU27+3,2025,Automotive,PUR,0.0
EU27+3,2030,Automotive,PUR,0.0
EU27+3,2035,Automotive,PUR,0.0
EU27+3,2040,Automotive,PUR,0.0
EU27+3,2045,Automotive,PUR,0.0
EU27+3,2050,Automotive,PUR,0.0
EU27+3,2020,Automotive,Other Plastics,0.06
EU27+3,2025,Automotive,Other Plastics,0.1
EU27+3,2030,Automotive,Other Plastics,0.14
EU27+3,2035,Automotive,Other Plastics,0.18
EU27+3,2040,Automotive,Other Plastics,0.18
EU27+3,2045,Automotive,Other Plastics,0.18
EU27+3,2050,Automotive,Other Plastics,0.18
EU27+3,2020,PUR moulded automotive,PUR,0.0
EU27+3,2025,PUR moulded automotive,PUR,0.0
EU27+3,2030,PUR moulded automotive,PUR,0.0
EU27+3,2035,PUR moulded automotive,PUR,0.0
EU27+3,2040,PUR moulded automotive,PUR,0.0
EU27+3,2045,PUR moulded automotive,PUR,0.0
EU27+3,2050,PUR moulded automotive,PUR,0.0
EU27+3,2020,PUR others in Automotive,PUR,0.0
EU27+3,2025,PUR others in Automotive,PUR,0.0
EU27+3,2030,PUR others in Automotive,PUR,0.0
EU27+3,2035,PUR others in Automotive,PUR,0.0
EU27+3,2040,PUR others in Automotive,PUR,0.0
EU27+3,2045,PUR others in Automotive,PUR,0.0
EU27+3,2050,PUR others in Automotive,PUR,0.0
EU27+3,2020,Electrical and Electronics,"PE-LD, -LLD",0.04
EU27+3,2025,Electrical and Electronics,"PE-LD, -LLD",0.08
EU27+3,2030,Electrical and Electronics,"PE-LD, -LLD",0.12
EU27+3,2035,Electrical and Electronics,"PE-LD, -LLD",0.16
EU27+3,2040,Electrical and Electronics,"PE-LD, -LLD",0.16
EU27+3,2045,Electrical and Electronics,"PE-LD, -LLD",0.16
EU27+3,2050,Electrical and Electronics,"PE-LD, -LLD",0.16
EU27+3,2020,Electrical and Electronics,"PE-HD, -MD",0.04
EU27+3,2025,Electrical and Electronics,"PE-HD, -MD",0.08
EU27+3,2030,Electrical and Electronics,"PE-HD, -MD",0.12
EU27+3,2035,Electrical and Electronics,"PE-HD, -MD",0.16
EU27+3,2040,Electrical and Electronics,"PE-HD, -MD",0.16
EU27+3,2045,Electrical and Electronics,"PE-HD, -MD",0.16
EU27+3,2050,Electrical and Electronics,"PE-HD, -MD",0.16
EU27+3,2020,Electrical and Electronics,PP,0.04
EU27+3,2025,Electrical and Electronics,PP,0.08
EU27+3,2030,Electrical and Electronics,PP,0.12
EU27+3,2035,Electrical and Electronics,PP,0.16
EU27+3,2040,Electrical and Electronics,PP,0.16
EU27+3,2045,Electrical and Electronics,PP,0.16
EU27+3,2050,Electrical and Electronics,PP,0.16
EU27+3,2020,Electrical and Electronics,PS,0.04
EU27+3,2025,Electrical and Electronics,PS,0.08
EU27+3,2030,Electrical and Electronics,PS,0.12
EU27+3,2035,Electrical and Electronics,PS,0.16
EU27+3,2040,Electrical and Electronics,PS,0.16
EU27+3,2045,Electrical and Electronics,PS,0.16
EU27+3,2050,Electrical and Electronics,PS,0.16
EU27+3,2020,Electrical and Electronics,PS-E,0.04
EU27+3,2025,Electrical and Electronics,PS-E,0.08
EU27+3,2030,Electrical and Electronics,PS-E,0.12
EU27+3,2035,Electrical and Electronics,PS-E,0.16
EU27+3,2040,Electrical and Electronics,PS-E,0.16
EU27+3,2045,Electrical and Electronics,PS-E,0.16
EU27+3,2050,Electrical and Electronics,PS-E,0.16
EU27+3,2020,Electrical and Electronics,PVC,0.04
EU27+3,2025,Electrical and Electronics,PVC,0.08
EU27+3,2030,Electrical and Electronics,PVC,0.12
EU27+3,2035,Electrical and Electronics,PVC,0.16
EU27+3,2040,Electrical and Electronics,PVC,0.16
EU27+3,2045,Electrical and Electronics,PVC,0.16
EU27+3,2050,Electrical and Electronics,PVC,0.16
EU27+3,2020,Electrical and Electronics,"ABS, SAN",0.04
EU27+3,2025,Electrical and Electronics,"ABS, SAN",0.08
EU27+3,2030,Electrical and Electronics,"ABS, SAN",0.12
EU27+3,2035,Electrical and Electronics,"ABS, SAN",0.16
EU27+3,2040,Electrical and Electronics,"ABS, SAN",0.16
EU27+3,2045,Electrical and Electronics,"ABS, SAN",0.16
EU27+3,2050,Electrical and Electronics,"ABS, SAN",0.16
EU27+3,2020,Electrical and Electronics,PMMA,0.04
EU27+3,2025,Electrical and Electronics,PMMA,0.08
EU27+3,2030,Electrical and Electronics,PMMA,0.12
EU27+3,2035,Electrical and Electronics,PMMA,0.16
EU27+3,2040,Electrical and Electronics,PMMA,0.16
EU27+3,2045,Electrical and Electronics,PMMA,0.16
EU27+3,2050,Electrical and Electronics,PMMA,0.16
EU27+3,2020,Electrical and Electronics,"PA (PA6, PA66)",0.04
EU27+3,2025,Electrical and Electronics,"PA (PA6, PA66)",0.08
EU27+3,2030,Electrical and Electronics,"PA (PA6, PA66)",0.12
EU27+3,2035,Electrical and Electronics,"PA (PA6, PA66)",0.16
EU27+3,2040,Electrical and Electronics,"PA (PA6, PA66)",0.16
EU27+3,2045,Electrical and Electronics,"PA (PA6, PA66)",0.16
EU27+3,2050,Electrical and Electronics,"PA (PA6, PA66)",0.16
EU27+3,2020,Electrical and Electronics,PC,0.0
EU27+3,2025,Electrical and Electronics,PC,0.05
EU27+3,2030,Electrical and Electronics,PC,0.1
EU27+3,2035,Electrical and Electronics,PC,0.16
EU27+3,2040,Electrical and Electronics,PC,0.16
EU27+3,2045,Electrical and Electronics,PC,0.16
EU27+3,2050,Electrical and Electronics,PC,0.16
EU27+3,2020,Electrical and Electronics,PET,0.04
EU27+3,2025,Electrical and Electronics,PET,0.08
EU27+3,2030,Electrical and Electronics,PET,0.12
